Feature Set,Model,Test Accuracy,Test F1-score,Validation Accuracy,Validation F1-score
MFCC only,KNN,0.953935137,0.955639546,0.980555556,0.980779791
MFCC only,SVM,0.941334435,0.945025165,0.754444444,0.802854594
MFCC only,NB,0.922123528,0.927486055,0.968888889,0.969811321
MFCC only,Random Forest,0.989878124,0.990010194,0.910833333,0.90299184
MFCC + Delta,KNN,0.96839496,0.969467172,0.971666667,0.972372698
MFCC + Delta,SVM,0.928733733,0.933996556,0.751388889,0.800889878
MFCC + Delta,NB,0.920884115,0.926161558,0.956388889,0.956879978
MFCC + Delta,Random Forest,0.979962818,0.980094398,0.906944444,0.899126769
MFCC + Delta + Delta-Delta,KNN,0.967981822,0.969129655,0.944444444,0.947257384
MFCC + Delta + Delta-Delta,SVM,0.939062177,0.943017191,0.755833333,0.803750837
MFCC + Delta + Delta-Delta,NB,0.91985127,0.92503864,0.946944444,0.946959178
MFCC + Delta + Delta-Delta,Random Forest,0.988225573,0.988312487,0.919722222,0.91344714
MFCC + Delta-Delta,KNN,0.966122702,0.967395626,0.974722222,0.975332068
MFCC + Delta-Delta,SVM,0.938442471,0.942471042,0.750277778,0.800177817
MFCC + Delta-Delta,NB,0.921297253,0.92666025,0.960277778,0.960960961
MFCC + Delta-Delta,Random Forest,0.983474489,0.983619984,0.914444444,0.908278737
